City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
282,Alyangula,AU,-13.8483,136.4192,87.8,15,90,4.61,overcast clouds
283,Gravdal,NO,68.1214,13.5031,33.8,69,75,17.27,broken clouds
284,Daura,NG,11.5538,11.4085,74.71,12,12,4.03,few clouds
285,Sao Filipe,CV,14.8961,-24.4956,77.22,54,1,11.27,clear sky
286,Cumberland,US,35.0502,-78.8664,63.0,77,1,8.05,clear sky
287,Bodden Town,KY,19.2833,-81.25,80.01,1,41,4.0,scattered clouds
288,Bengkulu,ID,-3.8004,102.2655,83.43,68,99,4.79,overcast clouds
289,Novyy Urengoy,RU,66.0833,76.6333,22.26,91,44,10.76,scattered clouds
290,Methoni,GR,36.8197,21.7049,57.0,75,20,3.06,few clouds
291,Karatsu,JP,33.4425,129.9697,60.8,48,40,14.97,scattered clouds
292,Qaanaaq,GL,77.484,-69.3632,-14.21,87,81,6.87,broken clouds
293,Klaksvik,FO,62.2266,-6.589,39.2,100,75,7.58,drizzle
294,Oudtshoorn,ZA,-33.5907,22.2014,59.0,100,90,4.61,fog
295,Jatai,BR,-17.8814,-51.7144,65.59,44,1,2.44,clear sky
296,Port Keats,AU,-14.25,129.55,92.41,24,34,5.75,scattered clouds
297,Feldkirchen,DE,48.148,11.7434,28.99,93,34,1.99,scattered clouds
298,Sobolevo,RU,54.4299,31.8996,50.16,88,92,7.14,light rain
299,Hickory,US,35.7332,-81.3412,55.0,83,9,3.33,clear sky
300,Mikkeli,FI,61.6886,27.2723,37.99,86,0,5.75,clear sky
301,Podosinovets,RU,60.2776,47.0659,50.05,79,99,7.78,overcast clouds
302,Vardo,NO,70.3705,31.1107,26.6,59,0,11.5,clear sky
303,Bahia Honda,CU,22.9036,-83.1592,69.94,60,0,10.16,light rain
304,Solwezi,ZM,-12.1688,26.3894,58.41,97,82,5.41,broken clouds
305,Qaqortoq,GL,60.7167,-46.0333,33.8,75,0,3.56,clear sky
306,Bethel,US,41.3712,-73.414,48.0,79,79,3.0,broken clouds
307,Coahuayana,MX,18.7333,-103.6833,69.71,91,20,3.29,few clouds
308,Talaya,RU,61.3833,152.75,9.05,75,61,4.68,broken clouds
309,Katsuura,JP,35.1333,140.3,69.8,88,75,11.5,broken clouds
310,Samoded,RU,63.6083,40.5111,44.69,94,100,5.77,overcast clouds
311,Manado,ID,1.487,124.8455,89.6,58,20,11.5,few clouds
312,Mocuba,MZ,-16.8392,36.9856,71.76,92,52,3.65,broken clouds
313,Tual,ID,-5.6667,132.75,84.74,67,87,13.58,overcast clouds
314,Imbituba,BR,-28.24,-48.6703,69.8,83,0,3.44,clear sky
315,Havelock,US,34.8791,-76.9013,54.0,93,1,3.44,clear sky
316,Asahikawa,JP,43.7678,142.3703,41.0,52,75,11.5,broken clouds
317,San Joaquin,US,37.9333,-121.3011,53.01,66,1,13.8,clear sky
318,Ankazobe,MG,-18.3167,47.1167,66.2,82,75,8.05,broken clouds
319,Anadyr,RU,64.75,177.4833,12.2,79,40,11.18,snow
320,Kyra,RU,49.5776,111.9753,42.17,27,99,12.37,overcast clouds
321,Solnechnyy,RU,50.7214,136.6319,24.94,74,100,6.8,light snow
322,Santos Dumont,BR,-21.4567,-43.5525,56.07,98,49,2.68,scattered clouds
323,Monrovia,LR,6.3005,-10.7969,77.0,87,100,3.6,overcast clouds
324,Brae,GB,60.3964,-1.353,42.8,75,20,17.27,few clouds
325,Grand-Lahou,CI,5.1367,-5.0242,80.55,84,100,8.48,overcast clouds
326,Lerwick,GB,60.1545,-1.1494,42.8,75,20,17.27,few clouds
327,Faya,SA,18.3851,42.4509,68.0,45,0,4.61,clear sky
328,Dwarka,IN,22.2394,68.9678,83.35,54,0,7.61,clear sky
329,Lavrentiya,RU,65.5833,-171.0,24.35,90,100,5.93,overcast clouds
330,Bagdarin,RU,54.4333,113.6,34.5,27,39,12.86,scattered clouds
331,San Cristobal,VE,7.7669,-72.225,68.04,88,100,2.39,overcast clouds
332,Sterling,US,39.0062,-77.4286,54.0,82,1,3.44,clear sky
333,Lae,PG,-6.7221,146.9847,87.8,51,40,17.27,scattered clouds
334,Taboshar,TJ,40.5686,69.6413,62.6,51,9,20.13,clear sky
335,Martapura,ID,-3.4167,114.85,89.6,62,40,2.3,scattered clouds
336,Coquimbo,CL,-29.9533,-71.3436,57.2,88,90,4.61,overcast clouds
337,Sioux Lookout,CA,50.1001,-91.917,33.8,93,90,4.61,mist
338,Sinnamary,GF,5.3833,-52.95,77.58,86,72,8.84,broken clouds
339,Yuzhne,UA,46.6221,31.1013,46.4,93,75,8.95,broken clouds
340,Asyut,EG,27.181,31.1837,55.4,71,0,9.22,clear sky
